Reward,Episode
-127.18814582824707,0
78.88095741271972,1
86.61810796260833,2
64.77933723926544,3
80.80140018463135,4
48.92242157459259,5
90.63695555925369,6
78.63379094600677,7
76.79460182189942,8
112.13233478069306,9
82.65924530029297,10
78.51303641796112,11
64.77487189769745,12
70.63099610805511,13
86.66233079433441,14
84.75101673603058,15
60.934812378883365,16
50.927161073684694,17
64.91627621650696,18
37.083150923252106,19
74.74874515533448,20
58.98421382904053,21
84.55544300079346,22
70.65528240203858,23
60.912103700637815,24
100.50677301883698,25
66.87229382991791,26
72.58104243278504,27
57.00710129737854,28
66.95333008766174,29
84.69145469665527,30
48.857261824607846,31
92.26844441890717,32
90.51207523345947,33
88.58213710784912,34
68.74649670124055,35
78.71930027008057,36
88.75443854331971,37
82.372296667099,38
74.97353875637054,39
