Reward,Episode
46.0,0
32.0,1
40.0,2
42.0,3
40.0,4
52.0,5
44.0,6
62.0,7
64.0,8
32.0,9
40.0,10
30.0,11
50.0,12
66.0,13
60.0,14
64.0,15
28.0,16
28.0,17
80.0,18
60.0,19
40.0,20
52.0,21
54.0,22
38.0,23
62.0,24
30.0,25
56.0,26
54.0,27
54.0,28
42.0,29
70.0,30
36.0,31
50.0,32
44.0,33
40.0,34
62.0,35
52.0,36
62.0,37
70.0,38
50.0,39
