Reward,Episode
-144.12100772857667,0
18.417107224464417,1
64.96370817422867,2
66.78358743190765,3
52.92155332565308,4
60.61191728115082,5
47.18534294366837,6
56.68256449699402,7
41.31867573261261,8
49.04082012176514,9
33.017529129981995,10
50.886525177955626,11
50.95552496910095,12
25.296911358833313,13
54.9629682302475,14
68.98319363594055,15
55.04891893863678,16
52.880203139781955,17
54.7726646900177,18
50.812163984775545,19
54.654108786582945,20
68.75615904331207,21
62.845683860778806,22
49.006532716751096,23
60.79893943071365,24
72.64135375022889,25
66.59334723949432,26
62.8266345500946,27
40.959599423408505,28
42.84834547042847,29
60.69108707904816,30
37.08095941543579,31
54.90489609241486,32
48.536405456066134,33
66.65181708335876,34
66.76539535522461,35
43.08540239334106,36
70.92737472057343,37
41.06307730674744,38
39.403161108493805,39
