Reward,Episode
100.0,0
66.0,1
106.0,2
86.0,3
70.0,4
74.0,5
84.0,6
58.0,7
66.0,8
72.0,9
122.0,10
58.0,11
64.0,12
96.0,13
118.0,14
112.0,15
48.0,16
70.0,17
88.0,18
90.0,19
98.0,20
64.0,21
80.0,22
76.0,23
86.0,24
100.0,25
106.0,26
48.0,27
98.0,28
98.0,29
112.0,30
90.0,31
58.0,32
110.0,33
100.0,34
78.0,35
100.0,36
74.0,37
90.0,38
114.0,39
