Reward,Episode
94.0,0
92.0,1
72.0,2
78.0,3
98.0,4
78.0,5
96.0,6
114.0,7
90.0,8
86.0,9
74.0,10
90.0,11
80.0,12
66.0,13
64.0,14
104.0,15
56.0,16
54.0,17
80.0,18
70.0,19
70.0,20
64.0,21
106.0,22
78.0,23
96.0,24
92.0,25
72.0,26
42.0,27
78.0,28
84.0,29
66.0,30
96.0,31
86.0,32
88.0,33
70.0,34
94.0,35
66.0,36
98.0,37
58.0,38
88.0,39
